Movie Title,Director,Year,Score,Cast,Consensus,Synopsis
District B13,Pierre Morel,2004,80,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri","A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws."," In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a..."
Beverly Hills Cop,Martin Brest,1984,83,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher","The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny."," After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly..."
Ong-Bak: The Thai Warrior,Prachya Pinkaew,2003,85,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai","While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li."," In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily..."
Collateral,Michael Mann,2004,86,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo","Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.", A cab driver realizes his current fare is a hit man that has been having him drive around from mark...
Iron Monkey,Woo-Ping Yuen,1993,91,"Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang","Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy."," In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge..."
Escape From New York,John Carpenter,1981,86,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef","Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."," In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of..."
Battle Royale,Kinji Fukasaku,2000,88,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes."," 42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive..."
Spider-Man 2,Sam Raimi,2004,93,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."," When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is..."
13 Assassins,Takashi Miike,2010,95,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache."," In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century..."
Full Contact,Ringo Lam,1992,89,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang",No consensus yet.," Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating..."
