Movie Title,Director,Year,Score,Cast,Consensus,Synopsis
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,98,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."," In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)..."
Predator,John McTiernan,1987,80,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo","Predator: Part sci-fi, part horror, part action -- all muscle."," Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians..."
The Bourne Ultimatum,Paul Greengrass,2007,92,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn","The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.", Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa...
Total Recall,Paul Verhoeven,1990,83,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.", Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars....
Mad Max 2: The Road Warrior,George Miller,1981,95,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."," After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel..."
Heat,Michael Mann,1995,88,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."," Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while..."
The Raid: Redemption,Gareth Huw Evans,2011,87,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."," A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms..."
Mission: Impossible -- Fallout,Christopher McQuarrie,2018,97,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.", Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions....
Raiders of the Lost Ark,Steven Spielberg,1981,96,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."," Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the..."
Aliens,James Cameron,1986,98,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."," After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team...."
Hard-Boiled,John Woo,1992,94,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai","Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.", A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In...
The Matrix,Andy Wachowski,1999,88,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."," Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can..."
Terminator 2: Judgment Day,James Cameron,1991,92,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."," In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over..."
Die Hard,John McTiernan,1988,94,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic., New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) on Christmas Eve. He joins...
Mad Max: Fury Road,George Miller,2015,97,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."," Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When..."
